check_id;path;start_line;start_col;end_line;end_col;message;category;cwe;owasp;severity
project.semgrep-rules.idor.idor-param-used;/project/repos/Cosmos-Server/test-server.js;13;31;13;48;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/Cosmos-Server/test-server.js;14;59;14;74;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/Cosmos-Server/test-server.js;18;52;18;67;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/cross-origin/2-JSONP/serverRes.js;7;24;7;42;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;186;12;186;26;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;188;35;188;47;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;196;66;196;78;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;216;12;216;26;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;218;33;218;45;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;226;66;226;78;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;246;12;246;26;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;248;32;248;44;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;256;66;256;78;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;276;12;276;26;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;278;34;278;46;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;286;66;286;78;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;357;13;357;27;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;360;31;360;45;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;424;12;424;26;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/pm2panel/pm2panel.js;426;70;426;82;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/SmartMirror/motion.js;24;30;24;49;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/SmartMirror/motion.js;28;34;28;53;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/SmartMirror/motion.js;34;25;34;44;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/SmartMirror/motion.js;40;27;40;46;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/SmartMirror/motion.js;47;70;47;89;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/stf/lib/units/storage/plugins/apk/index.js;24;7;24;20;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/stf/lib/units/storage/plugins/apk/index.js;25;7;25;22;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/stf/lib/units/storage/plugins/apk/index.js;39;54;39;67;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/stf/lib/units/storage/plugins/apk/index.js;50;7;50;20;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/stf/lib/units/storage/plugins/apk/index.js;51;7;51;22;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/stf/lib/units/storage/s3.js;78;18;78;35;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/stf/lib/units/storage/s3.js;136;12;136;25;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/stf/lib/units/storage/temp.js;50;22;50;39;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/stf/lib/units/storage/temp.js;116;30;116;47;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/stf/lib/units/storage/temp.js;147;33;147;46;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/stf/lib/units/storage/temp.js;149;18;149;36;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/Universal-React-Apollo-Registration/server.js;63;21;63;36;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
project.semgrep-rules.idor.idor-param-used;/project/repos/Universal-React-Apollo-Registration/server.js;64;68;64;83;Potential IDOR: user-supplied parameter in route or query may access sensitive resources without access control checks.;security;CWE-639: Authorization Bypass Through User-Controlled Key;Broken Access Control;WARNING
