check_id;path;start_line;start_col;end_line;end_col;message;category;cwe;owasp;severity
project.semgrep-rules.misconfig.express-session-hardcoded-secret;/project/repos/node_passport_login/app.js;35;5;35;21;A hard-coded credential was detected. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).;security;['CWE-798: Use of Hard-coded Credentials'];['A07:2021 - Identification and Authentication Failures'];WARNING
project.semgrep-rules.misconfig.express-session-hardcoded-secret;/project/repos/pm2panel/pm2panel.js;25;18;25;40;A hard-coded credential was detected. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).;security;['CWE-798: Use of Hard-coded Credentials'];['A07:2021 - Identification and Authentication Failures'];WARNING
project.semgrep-rules.misconfig.cors-misconfiguration;/project/repos/login-with/example/token-decrypter/index.js;17;50;17;56;By letting user input control CORS parameters, there is a risk that software does not properly verify that the source of data or communication is valid. Use literal values for CORS settings.;security;['CWE-346: Origin Validation Error'];['A07:2021 - Identification and Authentication Failures'];WARNING
project.semgrep-rules.misconfig.cors-misconfiguration;/project/repos/allOrigins/app.js;16;45;16;70;By letting user input control CORS parameters, there is a risk that software does not properly verify that the source of data or communication is valid. Use literal values for CORS settings.;security;['CWE-346: Origin Validation Error'];['A07:2021 - Identification and Authentication Failures'];WARNING
project.semgrep-rules.misconfig.hardcoded-jwt-secret;/project/repos/react-redux-jwt-auth-example/server.js;37;68;37;80;A hard-coded credential was detected. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).;security;['CWE-798: Use of Hard-coded Credentials'];['A07:2021 - Identification and Authentication Failures'];WARNING
project.semgrep-rules.misconfig.hardcoded-jwt-secret;/project/repos/cloudfront-auth/authn/openid.index.js;134;46;134;49;A hard-coded credential was detected. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).;security;['CWE-798: Use of Hard-coded Credentials'];['A07:2021 - Identification and Authentication Failures'];WARNING
project.semgrep-rules.misconfig.hardcoded-jwt-secret;/project/repos/cloudfront-auth/authn/pkce.index.js;140;46;140;49;A hard-coded credential was detected. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).;security;['CWE-798: Use of Hard-coded Credentials'];['A07:2021 - Identification and Authentication Failures'];WARNING
project.semgrep-rules.misconfig.hardcoded-jwt-secret;/project/repos/hapi-auth-jwt2/example/server.cjs;16;35;16;41;A hard-coded credential was detected. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).;security;['CWE-798: Use of Hard-coded Credentials'];['A07:2021 - Identification and Authentication Failures'];WARNING
project.semgrep-rules.misconfig.express-jwt-not-revoked;/project/repos/nodejs-jwt-authentication-sample/protected-routes.js;9;16;13;3;No token revoking configured for `express-jwt`. A leaked token could still be used and unable to be revoked. Consider using function as the `isRevoked` option.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-domain;/project/repos/login-with/index.js;4;24;4;50;Default session middleware settings: `domain` not set. It indicates the domain of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/login-with/index.js;4;24;4;50;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/login-with/index.js;4;24;4;50;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/login-with/index.js;4;24;4;50;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-domain;/project/repos/node_passport_login/app.js;6;17;6;43;Default session middleware settings: `domain` not set. It indicates the domain of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/node_passport_login/app.js;6;17;6;43;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/node_passport_login/app.js;6;17;6;43;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/node_passport_login/app.js;6;17;6;43;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-domain;/project/repos/pm2panel/pm2panel.js;22;15;22;41;Default session middleware settings: `domain` not set. It indicates the domain of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/pm2panel/pm2panel.js;22;15;22;41;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/pm2panel/pm2panel.js;22;15;22;41;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/pm2panel/pm2panel.js;22;15;22;41;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-domain;/project/repos/shadowsocks-manager/plugins/freeAccount/index.js;188;17;188;43;Default session middleware settings: `domain` not set. It indicates the domain of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-expires;/project/repos/shadowsocks-manager/plugins/freeAccount/index.js;188;17;188;43;Default session middleware settings: `expires` not set. Use it to set expiration date for persistent cookies.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-path;/project/repos/shadowsocks-manager/plugins/freeAccount/index.js;188;17;188;43;Default session middleware settings: `path` not set. It indicates the path of the cookie;;;;
project.semgrep-rules.misconfig.express-cookie-session-no-secure;/project/repos/shadowsocks-manager/plugins/freeAccount/index.js;188;17;188;43;Default session middleware settings: `secure` not set. It ensures the browser only sends the cookie over HTTPS.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-no-domain;/project/repos/shadowsocks-manager/plugins/webgui/index.js;10;17;10;43;Default session middleware settings: `domain` not set. It indicates the domain of the cookie;;;;
